Role,Player,Club,Club Name,Squad,Owner,Purchase Price,Initial Quote,Current Quote,Current Gain/Loss,Games,Yellow Cards,Red Cards,Assists,Goals Scored,Penalties Scored,Missed Penalties,Goals Conceded,Penalties Saved,Clean Sheets,FM FP,MV FP,FM GdS,MV GdS,FM Sud,MV Sud
Difensore,Bellanova,TOR,Torino,AC Ciughina,Carle,3,7,9,6,20,5,0,3,0,0,0,0,0,0,6.1,6.08,6.25,6.23,6.1,6.08
Difensore,Gendrey,LEC,Lecce,Free Agent,Free Agent,0,6,9,0,21,4,0,2,1,0,0,0,0,0,6.15,6.01,5.98,5.83,6.05,5.9
Difensore,Cambiaso,JUV,Juventus,Garda Che Squadra,Fracca,15,7,9,-6,19,5,0,3,1,0,0,0,0,0,6.32,6.13,6.42,6.24,6.31,6.11
Difensore,Calabria,MIL,Milan,Vecchie Rocce,Damian,3,10,8,5,19,3,1,3,0,0,0,0,0,0,5.87,5.84,5.89,5.87,5.95,5.92
Difensore,Baschirotto,LEC,Lecce,Nottingham Dese,Scap,1,11,8,7,20,1,1,1,0,0,0,0,0,0,5.81,5.84,5.85,5.88,5.85,5.88
Difensore,Djimsiti,ATA,Atalanta,Nottingham Dese,Scap,5,8,8,3,20,3,0,0,0,0,0,0,0,0,5.96,6.04,6.21,6.29,6.24,6.31
Difensore,Dossena,CAG,Cagliari,Nottingham Dese,Scap,7,6,8,1,22,3,0,2,2,0,0,0,0,0,6.09,5.89,6.23,6.02,6.25,6.05
Difensore,Martinez Quarta,FIO,Fiorentina,Free Agent,Free Agent,0,5,8,0,17,3,0,0,3,0,0,0,0,0,6.56,6.12,6.62,6.18,6.56,6.12
Difensore,Bradaric,SAL,Salernitana,Free Agent,Free Agent,0,7,8,0,21,4,0,3,0,0,0,0,0,0,5.81,5.76,5.76,5.71,5.64,5.69
Difensore,Zappa,CAG,Cagliari,Free Agent,Free Agent,0,6,8,0,22,2,0,1,1,0,0,0,0,0,5.88,5.74,5.88,5.74,5.86,5.76
Difensore,Lazaro,TOR,Torino,Free Agent,Free Agent,0,4,8,0,18,2,0,2,0,0,0,0,0,0,6.15,6.1,6.0,5.94,5.86,5.92
Difensore,Smalling,ROM,Roma,Free Agent,Free Agent,0,14,7,0,3,0,0,0,0,0,0,0,0,0,5.5,5.5,5.33,5.33,5.0,5.0
Difensore,Tomori,MIL,Milan,Nottingham Dese,Scap,14,13,7,-7,16,2,1,0,3,0,0,0,0,0,6.44,6.0,6.66,6.22,6.53,6.09
Difensore,Darmian,INT,Inter,Nottingham Dese,Scap,6,12,7,1,19,1,0,0,0,0,0,0,0,0,6.03,6.05,6.08,6.11,6.21,6.24
Difensore,Erlic,SAS,Sassuolo,Free Agent,Free Agent,0,6,7,0,21,4,0,0,1,0,0,0,0,0,5.8,5.75,5.62,5.57,5.79,5.74
Difensore,Biraghi,FIO,Fiorentina,Garda Che Squadra,Fracca,5,11,7,2,17,4,0,2,1,0,0,0,0,0,5.99,5.81,5.94,5.76,5.88,5.76
Difensore,Marusic,LAZ,Lazio,Free Agent,Free Agent,0,7,7,0,21,2,0,0,0,0,0,0,0,0,5.67,5.71,5.52,5.57,5.58,5.6
Difensore,Spinazzola,ROM,Roma,AC Ciughina,Carle,12,12,7,-5,16,0,0,2,1,0,0,0,0,0,6.36,6.05,6.25,5.94,6.03,5.72
Difensore,Kolasinac,ATA,Atalanta,AC Cipicchia,Nippon,9,9,7,-2,19,2,0,0,1,0,0,0,0,0,6.36,6.25,6.39,6.29,6.26,6.16
Difensore,Luperto,EMP,Empoli,Free Agent,Free Agent,0,7,7,0,22,1,0,1,0,0,0,0,0,0,5.93,5.91,5.98,5.95,6.09,6.07
Difensore,Kjaer,MIL,Milan,Free Agent,Free Agent,0,3,7,0,10,1,0,1,0,0,0,0,0,0,5.93,5.88,6.05,6.0,5.9,5.85
Difensore,Sabelli,GEN,Genoa,Free Agent,Free Agent,0,5,7,0,18,3,0,0,0,0,0,0,0,0,5.93,6.01,6.14,6.22,6.0,6.08
Difensore,Gallo,LEC,Lecce,Vecchie Rocce,Damian,4,6,7,3,18,2,0,2,0,0,0,0,0,0,6.11,6.06,5.92,5.86,5.94,5.94
Difensore,Toljan,SAS,Sassuolo,Free Agent,Free Agent,0,6,7,0,19,1,0,5,0,0,0,0,0,0,6.21,5.97,6.16,5.92,5.92,5.74
Difensore,Ebosele,UDI,Udinese,Free Agent,Free Agent,0,5,7,0,22,3,0,0,0,0,0,0,0,0,5.99,6.06,5.77,5.84,5.98,6.05
Difensore,Lykogiannis,BOL,Bologna,Free Agent,Free Agent,0,5,7,0,13,1,0,0,1,0,0,0,0,0,6.17,5.98,6.11,5.93,6.14,5.89
Difensore,Gila,LAZ,Lazio,Free Agent,Free Agent,0,1,7,0,9,1,0,0,0,0,0,0,0,0,5.97,6.03,5.89,5.94,6.11,6.17
Difensore,Monterisi,FRO,Frosinone,Free Agent,Free Agent,0,5,7,0,16,1,0,2,2,0,0,0,0,0,6.45,5.98,6.28,5.81,6.41,5.94
Difensore,Pedersen,SAS,Sassuolo,Free Agent,Free Agent,0,7,7,0,14,3,0,1,0,0,0,0,0,0,5.82,5.86,5.68,5.71,5.71,5.75
Difensore,Pavard,INT,Inter,Free Agent,Free Agent,0,14,7,0,10,2,0,0,0,0,0,0,0,0,6.08,6.18,6.22,6.33,5.88,6.0
Difensore,Milenkovic,FIO,Fiorentina,Garda Che Squadra,Fracca,20,10,6,-14,18,2,0,0,0,0,0,0,0,0,5.72,5.78,5.75,5.81,6.06,6.11
Difensore,Beukema,BOL,Bologna,Free Agent,Free Agent,0,6,6,0,18,3,0,1,0,0,0,0,0,0,6.03,6.06,6.06,6.08,6.17,6.25
Difensore,Cacace,EMP,Empoli,Free Agent,Free Agent,0,2,6,0,16,5,0,0,0,0,0,0,0,0,5.53,5.69,5.5,5.67,5.59,5.75
Difensore,Bani,GEN,Genoa,Free Agent,Free Agent,0,3,6,0,16,7,0,0,1,0,0,0,0,0,5.98,6.02,6.41,6.44,6.06,6.09
Difensore,Patric,LAZ,Lazio,Free Agent,Free Agent,0,4,6,0,13,3,0,0,1,0,0,0,0,0,6.15,6.04,5.88,5.77,6.23,6.12
Difensore,Florenzi,MIL,Milan,Free Agent,Free Agent,0,2,6,0,15,3,0,2,0,0,0,0,0,0,6.08,6.05,5.97,5.94,5.91,5.94
Difensore,Ruggeri,ATA,Atalanta,Free Agent,Free Agent,0,5,6,0,21,3,0,3,0,0,0,0,0,0,6.1,6.02,6.21,6.14,6.26,6.14
Difensore,Vasquez,GEN,Genoa,Free Agent,Free Agent,0,6,6,0,19,3,0,0,0,0,0,0,0,0,5.96,6.04,5.97,6.05,5.97,6.05
Difensore,Pellegrini Lu.,LAZ,Lazio,Free Agent,Free Agent,0,4,6,0,10,4,0,0,1,0,0,0,0,0,6.1,6.0,5.91,5.82,6.1,6.0
Difensore,De Winter,GEN,Genoa,Free Agent,Free Agent,0,2,6,0,15,5,0,1,0,0,0,0,0,0,5.78,5.88,5.77,5.87,6.03,6.13
Difensore,Fazio,SAL,Salernitana,Free Agent,Free Agent,0,2,6,0,11,3,0,1,1,0,0,0,0,0,6.2,5.98,6.32,6.09,6.14,6.0
Difensore,Kristiansen,BOL,Bologna,Free Agent,Free Agent,0,7,6,0,17,3,0,1,0,0,0,0,0,0,5.81,5.84,5.75,5.78,5.75,5.78
Difensore,Kristensen T.,UDI,Udinese,Free Agent,Free Agent,0,2,6,0,12,2,0,0,0,0,0,0,0,0,5.71,5.79,5.58,5.65,5.65,5.73
Difensore,Casale,LAZ,Lazio,Free Agent,Free Agent,0,10,5,0,9,1,0,0,0,0,0,0,0,0,5.78,5.83,5.39,5.44,5.67,5.72
Difensore,Mario Rui,NAP,Napoli,Free Agent,Free Agent,0,10,5,0,12,4,0,1,0,0,0,0,0,0,5.71,5.79,5.54,5.63,5.62,5.69
Difensore,Augello,CAG,Cagliari,Free Agent,Free Agent,0,5,5,0,18,1,0,0,0,0,0,0,0,0,5.69,5.72,5.58,5.61,5.78,5.81
Difensore,Ebuehi,EMP,Empoli,Free Agent,Free Agent,0,10,5,0,14,0,0,1,0,0,0,0,0,0,5.95,5.88,5.86,5.79,5.96,5.89
Difensore,Lazzari,LAZ,Lazio,Nottingham Dese,Scap,13,6,5,-8,14,2,1,2,0,0,0,0,0,0,6.0,6.0,5.89,5.89,5.89,5.89
Difensore,Pongracic,LEC,Lecce,Free Agent,Free Agent,0,5,5,0,20,6,0,0,0,0,0,0,0,0,5.86,6.01,5.93,6.08,6.0,6.15
Difensore,Kyriakopoulos,MON,Monza,Free Agent,Free Agent,0,8,5,0,16,3,0,3,0,0,0,0,0,0,5.88,5.78,5.94,5.84,5.88,5.84
Difensore,Bisseck,INT,Inter,Free Agent,Free Agent,0,3,5,0,5,0,0,0,1,0,0,0,0,0,7.1,6.5,7.2,6.6,7.1,6.5
Difensore,Caldirola,MON,Monza,Nottingham Dese,Scap,1,7,5,4,19,3,1,1,1,0,0,0,0,0,5.91,5.83,5.84,5.76,5.79,5.71
Difensore,Romagnoli S.,FRO,Frosinone,Free Agent,Free Agent,0,6,5,0,17,4,0,1,1,0,0,0,0,0,5.97,5.85,5.81,5.69,5.97,5.86
Difensore,Okoli,FRO,Frosinone,Free Agent,Free Agent,0,1,5,0,17,6,0,0,0,0,0,0,0,0,5.59,5.76,5.59,5.76,5.62,5.79
Difensore,Goldaniga,CAG,Cagliari,Free Agent,Free Agent,0,3,5,0,13,3,0,0,0,0,0,0,0,0,5.63,5.75,5.81,5.92,5.5,5.62
Difensore,Kayode,FIO,Fiorentina,Atletico Una Volta,Marce,1,2,5,4,14,2,0,1,0,0,0,0,0,0,5.95,5.95,6.14,6.14,6.21,6.21
Difensore,Rugani,JUV,Juventus,Free Agent,Free Agent,0,2,5,0,8,2,0,0,1,0,0,0,0,0,6.38,6.13,6.5,6.25,6.44,6.19
Difensore,Calafiori,BOL,Bologna,Free Agent,Free Agent,0,4,5,0,18,3,0,1,0,0,0,0,0,0,5.92,6.06,6.19,6.33,6.33,6.53
Difensore,Holm,ATA,Atalanta,Atletico Una Volta,Marce,3,10,5,2,9,1,0,0,1,0,0,0,0,0,6.47,6.19,6.35,6.1,6.44,6.17
Difensore,Thiaw,MIL,Milan,Free Agent,Free Agent,0,11,4,0,11,3,1,0,0,0,0,0,0,0,5.57,5.8,5.73,5.95,5.73,5.95
Difensore,Juan Jesus,NAP,Napoli,Free Agent,Free Agent,0,6,4,0,12,4,0,0,0,0,0,0,0,0,5.5,5.67,5.54,5.71,5.71,5.88
Difensore,Djidji,TOR,Torino,Free Agent,Free Agent,0,5,4,0,5,0,0,0,0,0,0,0,0,0,6.3,6.3,6.17,6.25,6.1,6.1
Difensore,Magnani,VER,Verona,Free Agent,Free Agent,0,3,4,0,16,4,0,0,0,0,0,0,0,0,5.77,5.89,5.66,5.78,5.44,5.56
Difensore,Ismajli,EMP,Empoli,Free Agent,Free Agent,0,5,4,0,15,0,0,0,0,0,0,0,0,0,5.77,5.77,5.83,5.83,5.83,5.83
Difensore,Azzi,CAG,Cagliari,Free Agent,Free Agent,0,6,4,0,14,1,0,0,0,0,0,0,0,0,5.8,5.84,5.58,5.62,5.69,5.73
Difensore,Birindelli,MON,Monza,Free Agent,Free Agent,0,6,4,0,14,5,0,1,0,0,0,0,0,0,5.86,5.96,5.87,5.97,5.84,5.94
Difensore,Tressoldi,SAS,Sassuolo,Free Agent,Free Agent,0,5,4,0,15,2,1,0,0,0,0,0,0,0,5.38,5.52,5.2,5.33,5.36,5.5
Difensore,Ehizibue,UDI,Udinese,Free Agent,Free Agent,0,4,4,0,7,0,0,0,0,0,0,0,0,0,5.82,5.82,5.75,5.75,5.75,5.75
Difensore,Walukiewicz,EMP,Empoli,Free Agent,Free Agent,0,2,4,0,14,4,0,0,0,0,0,0,0,0,5.41,5.55,5.57,5.71,5.54,5.68
Difensore,Natan,NAP,Napoli,Free Agent,Free Agent,0,8,4,0,11,1,1,0,0,0,0,0,0,0,5.89,6.02,5.73,5.86,5.73,5.86
Difensore,Martin,GEN,Genoa,Free Agent,Free Agent,0,8,3,0,8,1,1,0,0,0,0,0,0,0,5.34,5.53,5.61,5.78,5.38,5.56
Difensore,Hateboer,ATA,Atalanta,Free Agent,Free Agent,0,6,3,0,10,2,0,1,0,0,0,0,0,0,5.9,5.9,5.95,5.95,5.85,5.85
Difensore,Gyomber,SAL,Salernitana,Free Agent,Free Agent,0,6,3,0,18,9,0,0,0,0,0,0,0,0,5.29,5.54,5.19,5.44,5.19,5.44
Difensore,Pirola,SAL,Salernitana,Free Agent,Free Agent,0,5,3,0,14,2,0,0,1,0,0,0,0,0,5.68,5.54,5.61,5.46,5.71,5.57
Difensore,Vojvoda,TOR,Torino,Free Agent,Free Agent,0,6,3,0,12,1,0,0,0,0,0,0,0,0,5.83,5.88,5.83,5.88,5.67,5.71
Difensore,De Silvestri,BOL,Bologna,Vecchie Rocce,Damian,1,1,3,2,10,0,0,0,2,0,0,0,0,0,6.8,6.2,6.7,6.1,6.91,6.36
Difensore,Sambia,SAL,Salernitana,Free Agent,Free Agent,0,3,3,0,3,0,0,0,0,0,0,0,0,0,6.33,6.33,6.13,6.13,6.5,6.5
Difensore,Bereszynski,EMP,Empoli,Free Agent,Free Agent,0,3,3,0,9,2,0,1,0,0,0,0,0,0,5.75,5.75,5.75,5.75,5.7,5.7
Difensore,Lirola,FRO,Frosinone,Free Agent,Free Agent,0,3,3,0,9,1,0,1,1,0,0,0,0,0,6.31,5.92,6.06,5.67,5.94,5.56
Difensore,Toloi,ATA,Atalanta,AC Ciughina,Carle,4,8,2,-2,7,2,1,0,0,0,0,0,0,0,5.64,5.93,5.64,5.93,5.64,5.93
Difensore,Bakker,ATA,Atalanta,Vecchie Rocce,Damian,1,11,2,1,5,0,0,0,0,0,0,0,0,0,5.65,5.65,5.7,5.7,5.7,5.7
Difensore,Cuadrado,INT,Inter,Free Agent,Free Agent,0,10,2,0,8,1,0,2,0,0,0,0,0,0,6.34,6.16,6.31,6.13,6.13,5.94
Difensore,Izzo,MON,Monza,Free Agent,Free Agent,0,7,2,0,6,3,0,0,0,0,0,0,0,0,5.5,5.75,5.67,5.92,5.5,5.75
Difensore,Ostigard,NAP,Napoli,Vecchie Rocce,Damian,3,3,2,-1,10,0,0,0,1,0,0,0,0,0,6.15,5.85,6.05,5.75,6.27,6.0
Difensore,Bijol,UDI,Udinese,AC Cipicchia,Nippon,9,9,2,-7,13,1,0,0,0,0,0,0,0,0,5.92,5.96,5.96,6.0,5.85,5.88
Difensore,Parisi,FIO,Fiorentina,Free Agent,Free Agent,0,7,2,0,12,3,0,1,0,0,0,0,0,0,5.85,5.9,5.96,6.0,5.81,5.85
Difensore,Kalulu,MIL,Milan,Free Agent,Free Agent,0,7,2,0,3,0,0,0,0,0,0,0,0,0,5.83,5.83,6.0,6.0,5.75,5.75
Difensore,Viti,SAS,Sassuolo,Free Agent,Free Agent,0,6,2,0,6,0,0,0,0,0,0,0,0,0,5.75,5.75,5.58,5.58,5.75,5.75
Difensore,De Vrij,INT,Inter,Garda Che Squadra,Fracca,2,8,2,0,13,0,0,0,0,0,0,0,0,0,6.25,6.25,6.29,6.29,6.29,6.29
Difensore,Lovato,SAL,Salernitana,Free Agent,Free Agent,0,5,2,0,12,2,0,0,0,0,0,0,0,0,5.25,5.33,5.13,5.21,5.38,5.46
